0.038328f, 0.601095f, 0.013608f,
0.108161f, 0.601095f, 0.080817f,
0.177993f, 0.601095f, 0.148027f,
0.177993f, 0.601095f, 0.148027f,
0.098355f, 0.57735f, 0.081434f,
0.018717f, 0.553604f, 0.014841f,
0.242712f, 0.57735f, 0.18518f,
0.130714f, 0.565477f, 0.100011f,
0.018717f, 0.553604f, 0.014841f,
0.30743f, 0.553604f, 0.222334f,
0.163074f, 0.553604f, 0.118588f,
0.018717f, 0.553604f, 0.014841f,
0.30743f, 0.553604f, 0.222334f,
0.356647f, 0.57735f, 0.240901f,
0.405864f, 0.601095f, 0.259469f,
0.242712f, 0.57735f, 0.18518f,
0.324288f, 0.589223f, 0.222324f,
0.405864f, 0.601095f, 0.259469f,
0.177993f, 0.601095f, 0.148027f,
0.291929f, 0.601095f, 0.203748f,
0.405864f, 0.601095f, 0.259469f,
0.405864f, 0.601095f, 0.259469f,
0.356647f, 0.57735f, 0.240901f,
0.30743f, 0.553604f, 0.222334f,
0.464064f, 0.57735f, 0.254961f,
0.385747f, 0.565477f, 0.238647f,
0.30743f, 0.553604f, 0.222334f,
0.522263f, 0.553604f, 0.250453f,
0.414847f, 0.553604f, 0.236393f,
0.30743f, 0.553604f, 0.222334f,
0.522263f, 0.553604f, 0.250453f,
0.556865f, 0.57735f, 0.247191f,
0.591468f, 0.601095f, 0.243929f,
0.405864f, 0.601095f, 0.259469f,
0.498666f, 0.601095f, 0.251699f,
0.591468f, 0.601095f, 0.243929f,
0.591468f, 0.601095f, 0.243929f,
0.556865f, 0.57735f, 0.247191f,
0.522263f, 0.553604f, 0.250453f,
0.646941f, 0.57735f, 0.222086f,
0.584602f, 0.565477f, 0.236269f,
0.522263f, 0.553604f, 0.250453f,
0.702415f, 0.553604f, 0.200243f,
0.612339f, 0.553604f, 0.225348f,
0.522263f, 0.553604f, 0.250453f,
0.702415f, 0.553604f, 0.200243f,
0.731929f, 0.57735f, 0.19185f,
0.761443f, 0.601095f, 0.183457f,
0.646941f, 0.57735f, 0.222086f,
0.704192f, 0.589223f, 0.202771f,
0.761443f, 0.601095f, 0.183457f,
0.591468f, 0.601095f, 0.243929f,
0.676455f, 0.601095f, 0.213693f,
0.761443f, 0.601095f, 0.183457f,
0.761443f, 0.601095f, 0.183457f,
0.731929f, 0.57735f, 0.19185f,
0.702415f, 0.553604f, 0.200243f,
0.873697f, 0.553604f, 0.127586f,
0.788056f, 0.553604f, 0.163914f,
0.702415f, 0.553604f, 0.200243f,
0.873697f, 0.553604f, 0.127586f,
0.898117f, 0.57735f, 0.109036f,
0.922538f, 0.601095f, 0.090485f,
0.81757f, 0.57735f, 0.155521f,
0.870054f, 0.589223f, 0.123003f,
0.922538f, 0.601095f, 0.090485f,
0.761443f, 0.601095f, 0.183457f,
0.84199f, 0.601095f, 0.136971f,
0.922538f, 0.601095f, 0.090485f,
0.922538f, 0.601095f, 0.090485f,
0.898117f, 0.57735f, 0.109036f,
0.873697f, 0.553604f, 0.127586f,
0.985534f, 0.57735f, 0.066846f,
0.929616f, 0.565477f, 0.097216f,
0.873697f, 0.553604f, 0.127586f,
1.048531f, 0.553604f, 0.043208f,
0.961114f, 0.553604f, 0.085397f,
0.873697f, 0.553604f, 0.127586f,
1.048531f, 0.553604f, 0.043208f,
1.024421f, 0.57735f, 0.036733f,
1.00031f, 0.601095f, 0.030258f,
0.985534f, 0.57735f, 0.066846f,
0.992922f, 0.589223f, 0.048552f,
1.00031f, 0.601095f, 0.030258f,
0.922538f, 0.601095f, 0.090485f,
0.961424f, 0.601095f, 0.060372f,
1.00031f, 0.601095f, 0.030258f,
0.057939f, 0.648587f, 0.012375f,
0.048134f, 0.624841f, 0.012991f,
0.038328f, 0.601095f, 0.013608f,
0.117966f, 0.624841f, 0.080201f,
0.078147f, 0.612968f, 0.046904f,
0.038328f, 0.601095f, 0.013608f,
0.177993f, 0.601095f, 0.148027f,
0.108161f, 0.601095f, 0.080817f,
0.038328f, 0.601095f, 0.013608f,
0.177993f, 0.601095f, 0.148027f,
0.23447f, 0.624841f, 0.188683f,
0.290946f, 0.648587f, 0.229339f,
0.057939f, 0.648587f, 0.012375f,
0.174443f, 0.648587f, 0.120857f,
0.290946f, 0.648587f, 0.229339f,
0.290946f, 0.648587f, 0.229339f,
0.23447f, 0.624841f, 0.188683f,
0.177993f, 0.601095f, 0.148027f,
0.348405f, 0.624841f, 0.244404f,
0.263199f, 0.612968f, 0.196215f,
0.177993f, 0.601095f, 0.148027f,
0.405864f, 0.601095f, 0.259469f,
0.291929f, 0.601095f, 0.203748f,
0.177993f, 0.601095f, 0.148027f,
0.405864f, 0.601095f, 0.259469f,
0.443775f, 0.624841f, 0.265863f,
0.481685f, 0.648587f, 0.272258f,
0.348405f, 0.624841f, 0.244404f,
0.415045f, 0.636714f, 0.258331f,
0.481685f, 0.648587f, 0.272258f,
0.290946f, 0.648587f, 0.229339f,
0.386315f, 0.648587f, 0.250798f,
0.481685f, 0.648587f, 0.272258f,
0.481685f, 0.648587f, 0.272258f,
0.443775f, 0.624841f, 0.265863f,
0.405864f, 0.601095f, 0.259469f,
0.536576f, 0.624841f, 0.258093f,
0.47122f, 0.612968f, 0.258781f,
0.405864f, 0.601095f, 0.259469f,
0.591468f, 0.601095f, 0.243929f,
0.498666f, 0.601095f, 0.251699f,
0.405864f, 0.601095f, 0.259469f,
0.591468f, 0.601095f, 0.243929f,
0.622203f, 0.624841f, 0.239288f,
0.652937f, 0.648587f, 0.234647f,
0.481685f, 0.648587f, 0.272258f,
0.567311f, 0.648587f, 0.253452f,
0.652937f, 0.648587f, 0.234647f,
0.652937f, 0.648587f, 0.234647f,
0.622203f, 0.624841f, 0.239288f,
0.591468f, 0.601095f, 0.243929f,
0.761443f, 0.601095f, 0.183457f,
0.676455f, 0.601095f, 0.213693f,
0.591468f, 0.601095f, 0.243929f,
0.761443f, 0.601095f, 0.183457f,
0.786862f, 0.624841f, 0.16928f,
0.812281f, 0.648587f, 0.155103f,
0.652937f, 0.648587f, 0.234647f,
0.732609f, 0.648587f, 0.194875f,
0.812281f, 0.648587f, 0.155103f,
0.812281f, 0.648587f, 0.155103f,
0.786862f, 0.624841f, 0.16928f,
0.761443f, 0.601095f, 0.183457f,
0.922538f, 0.601095f, 0.090485f,
0.84199f, 0.601095f, 0.136971f,
0.761443f, 0.601095f, 0.183457f,
0.922538f, 0.601095f, 0.090485f,
0.937313f, 0.624841f, 0.053897f,
0.952089f, 0.648587f, 0.017308f,
0.867409f, 0.624841f, 0.122794f,
0.909749f, 0.636714f, 0.070051f,
0.952089f, 0.648587f, 0.017308f,
0.812281f, 0.648587f, 0.155103f,
0.882185f, 0.648587f, 0.086206f,
0.952089f, 0.648587f, 0.017308f,
0.952089f, 0.648587f, 0.017308f,
0.937313f, 0.624841f, 0.053897f,
0.922538f, 0.601095f, 0.090485f,
1.00031f, 0.601095f, 0.030258f,
0.961424f, 0.601095f, 0.060372f,
0.922538f, 0.601095f, 0.090485f,
0.057939f, 0.648587f, 0.012375f,
0.121164f, 0.672333f, 0.08078f,
0.184389f, 0.696078f, 0.149186f,
0.07755f, 0.696078f, 0.011142f,
0.13097f, 0.696078f, 0.080164f,
0.184389f, 0.696078f, 0.149186f,
0.184389f, 0.696078f, 0.149186f,
0.121164f, 0.672333f, 0.08078f,
